#,N*,Name,Bayer,Flam,Gould,Var,GJ,LHS,PLX,HIP,Giclas,DM,HD,HR,RA (2000.0),dec (2000.0),Parallax,Plx Err,Parsecs,APM,Pos A,MURAT,MUDEC,U,B,V,R,I,J,H,K,M,RV,Spec,Notes,NS
106,N1 Lup,,,,,,588,397,3501,76074,,CD-40 9712,,,15 32 12.9,-41 16 32.1,0.16836,0.00138,5.94,1.564,228.9,-0.1044,-1.02886,,10.84,9.31,8.25,6.93,5.647,5.025,4.759,10.44,,M2.5 V,,1532-4116
107,N5 Cet,,,,,,1005 A,1047,40.01,1242,158-050,,,,00 15 28.1,-16 08 01.7,0.16796,0.00079,5.954,0.955,130.3,0.0505,-0.61748,,,11.58,,,,,,12.71,,M4.0 VJ,,0015-1608 A
108,N5 Cet B,,,,,,1005 B,,,,,,,,00 15 28.5,-16 08 07.4,0.16796,0.00079,5.954,0.955,130.3,0.0505,-0.61748,,,14.33,,,,,,15.46,,,,0015-1608 B
109,N3 CMi,,,,,YZ,285,1943,1827,37766,112-046,,,,07 44 40.2,+03 33 08.9,0.16754,0.00228,5.969,0.568,217.4,-0.023,-0.45084,,12.79,11.19,9.92,8.24,6.58,6.005,5.698,12.31,18,M4.0 V,,0744+0333
110,N4 Oph,,,36,,,663 A,437,3908.00 A,84405,,CD-26 12026,,,17 15 21.0,-26 36 10.2,0.16751,0.00075,5.97,1.238,202.5,-0.0353,-1.14393,,5.18 J,4.32 J,3.84 J,3.40 J,,,,5.44,,,,1715-2636 A
111,N4 Oph B,,,,,,663 B,438,3908.00 B,,,,,,17 15 21.0,-26 36 10.2,0.16751,0.00075,5.97,1.238,202.5,-0.0353,-1.14393,,,,,,,,,,,,,1715-2636 B
112,N4 Oph C,,,,106 G.,V2215,664,439,3913,84478,,,156026,,17 16 13.4,-26 32 46.1,0.16751,0.00075,5.97,1.222,203.1,-0.0357,-1.12337,,7.48,6.32,5.62,5.04,,,,7.44,,K5 V,"SB? in CNS91; CNS91 ""VAR"" not confirmed/refuted",1715-2636 C
113,N2 Sgr,,,,279 G.,,783 A,486,4782,99461,,CD-36 13940,191408,7703,20 11 11.9,-36 06 04.4,0.16533,0.0009,6.049,1.64,163.8,0.0377,-1.57491,,6.18 J,5.31 J,4.79 J,4.31 J,,,,6.4,,K3 V,,2011-3606 A
114,N2 Sgr B,,,,,,783 B,487,,,,,,,20 11 11.9,-36 06 04.4,0.16533,0.0009,6.049,1.64,163.8,0.0377,-1.57491,,,11.5,,,,,,12.59,,M4.0 V,,2011-3606 B
115,N6 Eri,,e,,82 G.,,139,19,703,15510,,CD-43 1028,20794,1008,03 19 55.7,-43 04 11.2,0.16501,0.00055,6.06,3.124,76.6,0.2773,0.72634,,4.97,4.26,3.85,3.47,3.032,2.709,2.636,5.35,87.3,G5 V,,0319-4304
116,N4 Dra,,,,,,1221,455,4085.11,,240-072,,,,17 48 06.7,+70 52 29.0,0.1647,0.0024,6.07,1.651,311,,,,14.61,14.22,13.68,13.14,12.709,12.528,12.507,15.3,,DXP9,,1748+7052
117,N3 Pav,,Del,,88 G.,,780,485,4754,99240,,CD-66 2367,190248,7665,20 08 43.6,-66 10 55.5,0.16378,0.00065,6.11,1.656,133,0.1998,-1.13034,,4.31,3.55,3.14,2.79,2.299,2.041,1.933,4.62,-21.7,G8 V,,2008-6610
118,N1 Aur,,,,,QY,268 A,226,1668,34603,107-051,,,,07 10 01.8,+38 31 46.1,0.16293,0.00177,6.14,1.045,204.9,-0.0375,-0.94836,14.38,13.19,12.05,10.16,8.44,,,,13.11,,M4.5 VJ,SB2 in Joy47,0710+3831 A
119,N1 Aur B,,,,,,268 B,,,,,,,,07 10 01.8,+38 31 46.1,0.16293,0.00177,6.14,1.045,204.9,-0.0375,-0.94836,,,12.45,,,,,,13.51,,,spectroscopic companion,0710+3831 B
120,N2 Lib,,,,,HN,555,2945,3296,71253,,BD-11 3759,,,14 34 16.8,-12 31 10.4,0.16286,0.00261,6.14,0.694,329,-0.0244,0.59512,14.14,12.94,11.31,10.07,8.45,6.838,6.262,5.939,12.37,,M3.5 V,,1434-1231
121,N3 Leo,2MASS J09373487+2931409,,,,,,,,,,,,,09 37 34.9,+29 31 41.0,0.16284,0.00388,6.14,1.622,143.1,,,,,,,,14.65,14.703,15.267,,,T6.0 V,Vrba et al. 2004,0937+2931
122,N4 UMa,,,,,,338 A,260,2198.00 A,45343,195-017,BD+53 1320,79210,,09 14 22.8,+52 41 11.9,0.16213,0.00237,6.17,1.634,249.8,-0.1687,-0.5628,,,7.62,,,,,,8.67,,M0.0 V,SB in CNS91 disproven; additional components,0914+5241 A
123,N4 UMa B,,,,,,338 B,261,2198.00 B,120005,195-018,BD+53 1321,79211,,09 14 24.7,+52 41 11.0,0.16213,0.00237,6.17,1.684,247.1,-0.1706,-0.65625,,,7.71,,,,,,8.76,,K7.0 V,SB in CNS91 disproven,0914+5241 B
124,N2 Tel,,,,,,784,3531,4794,99701,,CD-45 13677,191849,,20 13 53.4,-45 09 50.5,0.16118,0.00107,6.2,0.794,101.6,0.0736,-0.15955,,9.36,7.95,7.04,6.13,5.122,4.525,4.281,8.99,-31.1,M0.0 V,,2013-4509
125,N3 Lib,,,,,HO,581,394,3458,74995,151-046,BD-07 4003,,,15 19 26.8,-07 43 20.2,0.15929,0.0021,6.28,1.229,265.4,-0.0824,-0.09952,13.37,12.16,10.56,9.46,8.05,,,,11.57,-9.5,M2.5 V,,1519-0743
126,N1 Peg,,,,,EQ,896 A,3965,5694.00 A,116132,068-024,BD+19 5116,,,23 31 52.2,+19 56 14.2,0.15772,0.00243,6.34,0.558,96.4,0.0393,-0.06261,,11.73,10.26,8.95,7.42,,,,11.25,,M3.5 V J,SB1 in Del99b,2331+1956 A
127,N1 Peg B,,,,,,896 B,3966,5694.00 B,,,,,,23 31 52.2,+19 56 14.2,0.15772,0.00243,6.34,0.558,96.4,0.0393,-0.06261,,,12.4,,,,,,13.39,,M4.5 V J,SB1 in Del99b,2331+1956 B
128,N1 Peg C,,,,,,,,,,,,,,23 31 52.2,+19 56 14.2,0.15772,0.00243,6.34,0.558,96.4,0.0393,-0.06261,,,,,,,,,,,,Gl 896C not in CNS91; spectroscopic companion,2331+1956 C
129,N1 Peg D,,,,,,,,,,,,,,23 31 52.2,+19 56 14.2,0.15772,0.00243,6.34,0.558,96.4,0.0393,-0.06261,,,,,,,,,,,,Gl 896D not in CNS91; spectroscopic companion,2331+1956 D
130,N3 Cnc,,,,,,,2090,,,,,,,09 00 23.6,+21 50 05.4,0.15687,0.00267,6.37,0.774,221.2,,,,17.3,16.1,14.09,11.85,9.436,8.836,8.437,17.08,,M6.0 V,,0900+2150
131,N2 Cen,,,,,,3737,337,,,,,,,12 38 49.1,-38 22 55.7,0.15678,0.00199,6.38,1.464,206.4,,,,14.43,12.75,,,,,,13.73,,M4.0 V,,1238-3822
132,N2 Her,,,,,,661 A,433,3907,84140,203-051,BD+45 2505,155876,,17 12 07.9,+45 39 57.5,0.15632,0.00128,6.4,1.625,168.4,0.0311,-1.59173,11.9,10.89,9.93,8.3,6.89,,,,10.9,,M3.0 VJ,,1712+4539 A
133,N2 Her B,,,,,,661 B,434,,,,,,,17 12 07.9,+45 39 57.5,0.15632,0.00128,6.4,1.625,168.4,0.0311,-1.59173,,,10.35,,,,,,11.32,,,,1712+4539 B
134,N1 Hya,,,,,,3877,3003,3372.03,,,,,,14 56 38.5,-28 09 51.0,0.1563,0.003,6.4,0.965,210.1,,,,18.39,17.05,14.88,12.53,9.965,9.315,8.928,18.02,,M7.0 V,,1456-2809
135,N3 Her,,,,,,3959,,,,180-060,,,,16 31 18.4,+40 51 54.0,0.156,0.004,6.41,0.358,330,,,,16.5,14.79,13.8,11,9.46,8.87,8.51,15.76,,m+,,1631+4051
136,N3 Cen,,,,,,,,,54298,,,,,11 06 30.7,-53 16 05.5,0.15528,0.0783,6.44,0.276,351.8,-0.0044,0.27278,,,10.2,,,,,,11.16,,F5 V,large HIP parallax and error; corrupted by HIP 54293,1106-5316
137,N4 Ori,,,,,,223.2,32,1363.02,,099-044,,,,05 55 09.7,-04 10 17.0,0.155,0.0021,6.45,2.377,166.6,,,,15.49,14.45,12.2,11.3,,,,15.4,,DZ9,,0555-0410
138,N5 Oph,Wolf 630,,,,,644 A,428,3845.00 A,82817,,BD-08 4352,152751,,16 55 28.8,-08 20 10.8,0.15497,0.00056,6.45,1.208,223.3,-0.0559,-0.87881,11.73,10.6,9.72,7.92,6.55,,,,10.67,,M2.5 VJ,,1655-0820 A
139,N5 Oph B,,,,,,644 B,,,,,,,,16 55 28.8,-08 20 10.8,0.15497,0.00056,6.45,1.208,223.3,-0.0559,-0.87881,,,10.54,,,,,,11.49,,,,1655-0820 B
140,N5 Oph C,,,,,,644 D,,,,,,,,16 55 28.8,-08 20 10.8,0.15497,0.00056,6.45,1.208,223.3,-0.0559,-0.87881,,,10.63,,,,,,11.58,,,Gl 644D not in CNS91,1655-0820 C
141,N5 Oph D,Wolf 629,,,,,643,427,3844,82809,,,,,16 55 25.2,-08 19 21.2,0.15497,0.00056,6.45,1.21,222.3,-0.0548,-0.89523,14.81,13.46,11.77,10.58,9.04,,,,12.72,,M3.5 V,"CNS91 ""SB"" refuted in Maz01",1655-0820 D
142,N5 Oph E,,,,,,644 C,429,3845.00 B,,,,,,16 55 35.8,-08 23 40.0,0.15497,0.00056,6.45,1.19,222.5,99.9999,-0.87881,,19,16.8,14.65,12.24,,,,17.75,,M7.0 V,,1655-0820 E
143,N2 Cas,Bradley 3077,,,,,892,71,5616,114622,,BD+56 2966,219134,8832,23 13 17.0,+57 10 06.1,0.15341,0.00054,6.52,2.095,81.9,0.2551,0.29497,,6.57,5.56,4.9,4.5,3.981,3.469,3.261,6.49,-17.8,K3 V,astrometric companion? in YPC,2313+5710
144,N2 Car,,,,,,1128,271,,,,,,,09 42 46.4,-68 53 06.0,0.15305,0.00241,6.53,1.121,356.7,,,,14.51,12.74,11.35,9.61,7.953,7.38,7.037,13.66,,M4.5 V,,0942-6853
145,N3 Vir,,,,,GL,1156,324,2835.01,,012-030,,,,12 19 00.3,+11 07 31.0,0.1529,0.003,6.54,1.301,279.1,,,,15.62,13.8,12.31,10.34,8.52,7.88,7.57,14.72,,M5.0 V,,1219+1107
146,N5 Dra,,,,,,625,,3740.03,80459,202-048,,,,16 25 24.6,+54 18 14.8,0.15179,0.00101,6.59,0.465,111.5,0.0494,-0.17071,,11.8,10.1,9.3,8.5,6.608,6.063,5.833,11.01,-12.8,M1.5 V,,1625+5418
147,N4 Leo,Ross 104,,,,,408,6193,2561,53767,119-049,,,,11 00 04.3,+22 49 58.6,0.15016,0.00149,6.66,0.51,236.7,-0.0308,-0.27994,,11.58,10.02,9.1,8.2,6.31,5.76,5.49,10.9,29,M2.5 V,,1100+2249
148,N2 Peg,Ross 775,,,,,829 A,508,5177,106106,126-004,,,,21 29 36.8,+17 38 35.9,0.14825,0.00173,6.75,1.076,69.5,0.0705,0.37621,,11.92,10.35,9.2,7.73,,,,11.2,,M3.5 V J,SB1 in Del99b,2129+1738 A
149,N2 Peg B,,,,,,829 B,,,,,,,,21 29 36.8,+17 38 35.9,0.14825,0.00173,6.75,1.076,69.5,0.0705,0.37621,,,11.06,,,,,,11.91,,,Gl 829B not in CNS91; spectroscopic companion,2129+1738 B
150,N4 Cnc,,,,,,,6158,,,041-014,,,,08 58 56.3,+08 28 25.9,0.14766,0.00198,6.77,0.503,130,,,,,11.9,,,,,,12.75,,M4.5 V,,0858+0828 A
151,N4 Cnc B,,,,,,,,,,,,,,08 58 56.3,+08 28 25.9,0.14766,0.00198,6.77,0.503,130,,,,,12.1,,,,,,12.95,,,,0858+0828 B
152,N4 Cnc C,,,,,,,,,,,,,,08 58 56.3,+08 28 25.9,0.14766,0.00198,6.77,0.503,130,,,,,12.3,,,,,,13.15,,,,0858+0828 C
153,N2 Boo,,Xi,37,,,566 A,,3360.00 A,72659,,BD+19 2870,131156,5544,14 51 23.4,+19 06 01.7,0.14757,0.00072,6.78,0.169,115,0.0108,-0.07128,,,4.7,,,,,,5.54,,G8 Ve,,1451+1906 A
154,N2 Boo B,,,,,,566 B,,3360.00 C,,,,,,14 51 23.4,+19 06 01.7,0.14757,0.00072,6.78,0.169,115,0.0108,-0.07128,,,6.97,,,,,,7.81,,K4 Ve,,1451+1906 B
155,N5 Leo,,,,,EE,402,294,2524,53020,044-040,,,,10 50 52.1,+06 48 29.3,0.14701,0.00544,6.8,1.141,224.8,-0.054,-0.8096,14.36,13.3,11.65,10.44,8.86,7.319,6.707,6.371,12.49,4,M4.0 V,"CNS91 ""SB"" not confirmed/refuted; RECONS: PM = 1.150; angle 225.1",1050+0648
156,N5 Cnc,Ross 619,,,,,299,35,1942,,050-022,,,,08 11 57.5,+08 46 28.0,0.1463,0.0031,6.84,5.211,167.1,,,15.74,14.55,12.83,11.58,9.91,8.42,7.93,7.66,13.66,-35,M4.0 V,,0811+0846
157,N3 Peg,Ross 671,,,,,880,533,5563,113296,067-037,BD+15 4733,216899,,22 56 34.8,+16 33 12.3,0.14579,0.00113,6.86,1.071,254.7,-0.0719,-0.28333,,10.15,8.65,7.67,6.55,5.36,4.8,4.523,9.47,-19,M1.5 V,"CNS91 ""SB"" refuted in Mar89 and Tok92",2256+1633
158,N7 Eri,,,,,,,,,14101,,,,,03 01 51.4,-16 35 36.2,0.14468,0.00252,6.91,0.477,234.4,-0.0251,-0.3044,,,11.22,,,,,,12.02,,M3.0 V,From RA/dec/PM etc: HIP 14101 (NSTARS) = LP 771-095 A (RECONS),0301-1635 A
159,N7 Eri B,,,,,,,,,,,,,,03 01 51.0,-16 35 30.7,0.14468,0.00252,6.91,0.479,235.5,,,,,11.77,,,,,,12.57,,M3.5 VJ,"separation 7""",0301-1635 B
160,N7 Eri C,,,,,,,,,,,,,,03 01 51.0,-16 35 30.7,0.14468,0.00252,6.91,0.479,235.5,,,,,12.63,,,,,,13.43,,,"separation < 2""",0301-1635 C
161,N2 Cep,,,,,,809,3595,5012,103096,262-030,BD+61 2068,199305,,20 53 19.8,+62 09 15.8,0.14158,0.00075,7.06,0.774,179.9,0.0002,-0.77424,,10.07,8.56,7.62,6.58,5.429,4.919,4.618,9.32,-15.9,M0.0 V,"SB in CNS91; CNS91 ""SB"" refuted by Tok92",2053+6209
162,N1 Vol,,,,,,293,34,1882,,,,,,07 53 14.7,-67 47 31.0,0.1412,0.0084,7.08,,,,,,14.21,13.6,13.21,12.85,12.726,12.476,12.362,14.35,,WDQ9,,0753-6747
163,N2 Ara,,,,,,,,,82725,,,,,16 54 32.5,-62 24 12.0,0.13955,0.01658,7.17,0.308,55.7,0.0367,0.17356,,12.85,11.58,11.6,,,,,12.3,,,,1654-6224 A
164,N2 Ara B,,,,,,,,,82724,,,,,16 54 32.1,-62 23 59.0,0.13955,0.01658,7.17,0.359,55.1,0.0424,0.20548,,,13.87,,,,,,14.59,,,,1654-6224 B
165,N3 Psc,,,,,,1286,546,5703.11,,157-077,,,,23 35 10.7,-02 23 25.0,0.1383,0.0035,7.23,,,,,,16.6,14.67,13.07,11.03,9.14,8.505,8.183,15.37,,M5.5 V,,2335-0223
166,N2 Sco,,,,142 G.,,667 A,442,3924.00 A,84709,,CD-34 11626,156384,6426,17 18 58.0,-34 59 24.8,0.13822,0.0007,7.23,1.153,94.5,0.0935,-0.0908,,6.94 J,5.90 J,5.26 J,4.71 J,,,,6.6,,K4 V,,1718-3459 A
167,N2 Sco B,,,,,,667 B,,3924.00 B,,,,,,17 18 58.0,-34 59 24.8,0.13822,0.0007,7.23,1.153,94.5,0.0935,-0.0908,,,,,,,,,,,K5 V,,1718-3459 B
168,N2 Sco C,,,,,,667 C,443,3924.00 C,,,,,,17 18 59.1,-34 59 41.8,0.13822,0.0007,7.23,1.153,94.5,0.0935,-0.0908,12.98,11.83,10.26,9.36,8.14,,,,10.96,,M1.5 V,,1718-3459 C
169,N2 Sex,Ross 446,,,,,393,2272,2456,51317,162-060,BD+01 2447,,,10 28 55.6,+00 50 27.6,0.13762,0.00197,7.27,0.948,219.5,-0.0402,-0.73187,12.349,11.15,9.63,8.62,7.4,6.176,5.605,5.311,10.32,12.7,M2.0 V,,1028+0050
170,N6 Dra,,,,,,4053,3376,4228.11,,258-033,,,,18 18 57.7,+66 11 32.0,0.1375,0.0053,7.27,,,,,,15.29,13.49,12.15,10.43,8.74,8.26,7.95,14.18,,M4.5 V,,1818+6611
171,N6 Cet,,,,268 G.,,105 A,15,520.00 A,12114,073-070,BD+06 398,16160,753,02 36 04.9,+06 53 12.7,0.13698,0.00088,7.3,2.312,51.4,0.1213,1.4425,,6.78,5.81,5.24,4.74,,,,6.49,,,,0236+0653 A
172,N6 Cet B,,,,,BX,105 B,16,520.00 B,,073-071,,,,02 36 06.0,+06 53 25.6,0.13698,0.00088,7.3,2.312,51.4,0.1213,1.4425,14.36,13.27,11.66,10.47,8.87,,,,12.34,,M3.5 V,,0236+0653 B
173,N6 Cet C,,,,,,105 C,,,,,,,,02 36 06.0,+06 53 25.6,0.13698,0.00088,7.3,2.312,51.4,0.1213,1.4425,,,,,,,,,,,,Gl 105C not in CNS91,0236+0653 C
174,N2 Scl,,,,,,2005 A,1070,66.01,,,,,,00 24 42.0,-27 08 52.0,0.1353,0.0121,7.39,,,,,,,15.42,13.71,11.56,,,,16.08,,M5.5 VJ,interferometric quadruple,0024-2708 A
175,N2 Scl B,,,,,,2005 B,,,,,,,,00 24 42.0,-27 08 52.0,0.1353,0.0121,7.39,,,,,,,,,,,,,,,,interferometric companion in Lei94,0024-2708 B
176,N2 Scl C,,,,,,2005 C,,,,,,,,00 24 42.0,-27 08 52.0,0.1353,0.0121,7.39,,,,,,,,,,,,,,,,interferometric companion in Lei94,0024-2708 C
177,N2 Scl D,,,,,,2005 D,,,,,,,,00 24 42.0,-27 08 52.0,0.1353,0.0121,7.39,,,,,,,,,,,,,,,,,0024-2708 D
178,N3 Aqr,,,,,,4274,3799,5413.01,,,,,,22 23 06.6,-17 36 25.0,0.1344,0.0049,7.44,,,,,,15.09,13.26,11.85,10.04,8.242,7.638,7.319,13.9,,M4.5 V,,2223-1736
179,N4 Psc,Wolf 25,,,96 G.,,33,121,156,3765,,BD+04 123,4628,222,00 48 23.0,+05 16 50.2,0.13436,0.00079,7.44,1.37,146.4,0.0508,-1.14122,,6.6,5.72,5.21,4.76,4.37,3.72,3.68,6.36,-12.6,K1 V,,0048+0516
180,N1 Hyi,,Bet,,5 G.,,19,6,69,2021,,CD-77 15,2151,98,00 25 45.1,-77 15 15.2,0.13386,0.00051,7.47,2.244,81.7,0.6709,0.32437,,3.42,2.8,2.45,2.12,,,,3.43,22.7,G2 IV,,0025-7715
181,N5 Psc,,,107,,,68,1287,356,7981,,BD+19 279,10476,493,01 42 29.8,+20 16 06.6,0.13373,0.00085,7.48,0.742,204,-0.0215,-0.6774,,6.04,5.2,4.7,4.3,3.855,3.391,3.285,5.83,-33.5,K1 V,,0142+2016
182,N4 Her,,,,,,,,3899.01,83945,203-047,,,,17 09 31.5,+43 40 52.9,0.13325,0.00267,7.5,0.435,129.8,0.0308,-0.27802,,,,,,,,,,,,SB1 in Rei97,1709+4340 A
183,N4 Her B,,,,,,,,,,,,,,17 09 31.5,+43 40 52.9,0.13325,0.00267,7.5,0.435,129.8,0.0308,-0.27802,,,,,,,,,,,,spectroscopic companion,1709+4340 B
184,N1 Ser,,,,,,1224,3359,4142.01,,155-001,,,,18 07 32.9,-15 57 51.0,0.1326,0.0037,7.54,,,,,,15.44,13.61,12.22,10.43,8.639,8.085,7.827,14.22,-34,M4.5 V,,1807-1557
185,N3 Cas,,Mu,30,,,53 A,8,219.00 A,5336,,BD+54 223,6582,321,01 08 16.4,+54 55 13.2,0.13257,0.00057,7.54,3.777,115.1,0.3969,-1.59927,,,,,,,,,,,,,0108+5455 A
186,N3 Cas B,,,,,,53 B,,,,,,,,01 08 16.4,+54 55 13.2,0.13257,0.00057,7.54,3.777,115.1,0.3969,-1.59927,,,,,,,,,,,,,0108+5455 B
187,N4 Vir,Ross 490,,,,,514,352,3079,65859,063-034,BD+11 2576,,,13 29 59.8,+10 22 37.8,0.13257,0.00118,7.54,1.558,133.6,0.0765,-1.0743,11.74,10.54,9.05,8.09,7.04,5.902,5.3,5.036,9.66,16.2,M1.0 V,,1329+1022
188,N3 Cam,,,,,,3378,1805,1373.01,,192-013,,,,06 01 09.7,+59 35 54.0,0.1321,0.0049,7.57,,,,,,13.31,11.71,10.52,8.99,7.47,6.95,6.64,12.31,,M3.5 V,,0601+5935
189,N3 Ari,,,,,VX,109,1439,555,12781,036-031,,,,02 44 15.5,+25 31 24.1,0.1311,0.00214,7.63,0.939,113,0.0639,-0.36717,,12.13,10.57,9.48,8.11,6.752,6.197,5.961,11.16,47,M3.0 V,,0244+2531
190,N2 PsA,Fomalhaut,,,66 G.,,881,,5565,113368,,CD-30 19370,216956,8728,22 57 39.1,-29 37 20.0,0.13058,0.00065,7.66,0.368,116.5,0.0252,-0.16422,,1.24,1.15,1.1,1.07,,,,1.73,,,same system as Gl 879,2257-2937 A
191,N2 PsA B,,,,65 G.,TW,879,,5562,113283,,CD-32 17321,216803,8721,22 56 24.1,-31 33 56.0,0.13058,0.00065,7.66,0.367,115.8,0.0259,-0.15986,,7.56,6.46,5.8,5.26,,,,7.04,,K4 VP,same system as Gl 881. Updated NS id to match A comp.,2257-2937 B
192,N6 Oph,Wolf 718,,,,,673,447,3955,85295,019-024,BD+02 3312,157881,,17 25 45.2,+02 06 41.1,0.12957,0.00091,7.72,1.319,206.1,-0.0387,-1.18481,,8.89,7.53,6.68,5.92,4.934,4.341,4.37,8.09,-24.4,M1 V,,1725+0206
193,N2 Lyr,Vega,Alp,3,,,721,,4293,91262,,BD+38 3238,172167,7001,18 36 56.3,+38 47 01.3,0.12901,0.00052,7.75,0.351,35,0.0172,0.28746,,0.02,0.03,0.04,0.04,-0.18,-0.03,0.13,0.58,-13.9,,,1836+3847
194,N2 Gem,,,,,,1093,223,1635.01,,109-035,,,,06 59 28.4,+19 20 52.0,0.1288,0.0035,7.76,,,,,,16.44,14.52,13.09,11.19,9.16,8.55,8.23,15.07,,M5.0 V,,0659+1920
195,N2 Ser,,,,,,701,3356,4133,88574,021-001,BD-03 4233,165222,,18 05 07.6,-03 01 52.7,0.12817,0.00137,7.8,0.66,120.3,0.0381,-0.33259,12.11,10.87,9.37,8.39,7.31,6.161,5.57,5.306,9.91,33.6,K4/5 V,,1805-0301
196,N4 Cen,,,,,,480.1,340,2919,61874,,,,,12 40 46.3,-43 33 58.9,0.12754,0.0038,7.84,1.045,311.6,-0.072,0.69351,,13.97,12.24,11.07,9.62,8.217,7.703,7.413,12.77,,M3.5,,1240-4333
197,N1 Phe,,,,,,915,1005,5808,,,,,,00 02 10.3,-43 09 58.0,0.1274,0.0068,7.85,,,,,,13.19,12.95,12.82,12.65,12.597,12.425,12.445,13.48,-58.8,WDA5,,0002-4309
198,N3 Sex,,,,,,382,,2395.11,49986,162-025,BD-03 2870,,,10 12 17.7,-03 44 44.4,0.12728,0.00148,7.86,0.287,212.2,-0.0102,-0.2429,11.941,10.81,9.29,8.28,7.11,5.888,5.258,5.015,9.81,12.2,M2.0 V,CNS91 companion not confirmed/refuted,1012-0344
199,N2 Cap,,,,,,831 A,511,5184,106255,026-007,,,,21 31 18.6,-09 47 26.4,0.12579,0.00229,7.95,1.163,92.7,0.0786,-0.05419,,13.71 J,12.04 J,10.74 J,9.04 J,,,,12.54,,M4.5 VJ,astrometric perturbation in Lip79,2131-0947 A
200,N2 Cap B,,,,,,831 B,,,,,,,,21 31 18.6,-09 47 26.4,0.12579,0.00229,7.95,1.163,92.7,0.0786,-0.05419,,,,,,,,,,,,interferometric companion in Bla87,2131-0947 B
201,N2 Cap C,,,,,,,,,,,,,,21 31 18.6,-09 47 26.4,0.12579,0.00229,7.95,1.163,92.7,0.0786,-0.05419,,,,,,,,,,,,interferometric companion in Hen99,2131-0947 C
202,N1 Pup,,,,,,300,1989,1953.1,,,,,,08 12 40.8,-21 33 10.0,0.1256,0.00097,7.96,0.707,177.5,,,,13.8,12.16,10.9,9.26,7.601,6.964,6.705,12.65,,M3.5 V,New RECONS parallax,0812-2133
203,N3 Cep,,,,,,793,3558,4889,101180,262-015,,,,20 30 32.0,+65 26 58.4,0.12509,0.00105,7.99,0.526,57.3,0.0711,0.28406,,12.14,10.56,9.47,8.11,6.74,6.14,5.93,11.05,24,M2.5 V,"CNS69 companion not in CNS91: ""optical""",2030+6526
204,N5 Ori,,,,,V1201,1087,212,1366.01,,102-040,,,,05 56 25.4,+05 21 46.0,0.125,0.0036,8,,,,,,14.69,14.1,14,13.6,12.93,12.72,12.653,14.58,,WDAP9,,0556+0521
205,N5 Her,,,,,,623 A,417,3733,80346,202-045,,,,16 24 09.3,+48 21 10.5,0.12472,0.00113,8.02,1.231,111.5,0.1149,-0.45228,,11.76,10.26,9.27,7.96,,,,10.74,,M2.5 VJ,astrometric perturbation in Lip78,1624+4821 A
206,N5 Her B,,,,,,623 B,,,,,,,,16 24 09.3,+48 21 10.5,0.12472,0.00113,8.02,1.231,111.5,0.1149,-0.45228,,,15.57 *,,,,,,16.05,,,interferometric companion in McC88,1624+4821 B
207,N7 Dra,,Chi,44,,,713 A,3379,4245,89937,,BD+72 839,170153,6927,18 21 03.4,+72 43 58.2,0.12451,0.00051,8.03,0.637,123.5,0.1193,-0.35159,,,,,,,,,,,,SB 280.55 days in YPC; additional components in; SB in Cra28,1821+7243 A
208,N7 Dra B,,,,,,713 B,,,,,,,,18 21 03.4,+72 43 58.2,0.12451,0.00051,8.03,0.637,123.5,0.1193,-0.35159,,,,,,,,,,,,spectroscopic companion,1821+7243 B
209,N2 Pup,,,,,,257 A,222,1641.10 A,33499,,CD-44 3045,,,06 57 46.6,-44 17 28.3,0.12421,0.00255,8.05,1.103,267.8,-0.1027,-0.04257,13.64,12.46,10.76,9.68,8.26,,,,11.23,,M3.0 VJ,,0657-4417 A
210,N2 Pup B,,,,,,257 B,,1641.00 B,,,,,,06 57 46.6,-44 17 28.3,0.12421,0.00255,8.05,1.103,267.8,-0.1027,-0.04257,,,,,,,,,,,,,0657-4417 B
211,N6 Ori,Tabit,Pi3,1,6 G.,,178,,1077,22449,,BD+06 762,30652,1543,04 49 50.4,+06 57 40.6,0.12413,0.00087,8.06,0.464,88.6,0.0311,0.01162,,3.65,3.19,2.92,2.67,1.984,1.757,1.6,3.66,24.1,,,0449+0657
212,N1 Lyn,,,,,,1105,1963,1875.01,38956,111-047,,,,07 58 12.7,+41 18 13.3,0.12409,0.0029,8.06,0.717,162.8,0.0188,-0.6851,,13.61,11.98,10.78,9.24,7.734,7.133,6.878,12.45,,M3.5 V,,0758+4118
213,N8 Eri,,,,,,66 A,,352.00 A,7751,,CD-56 328,,,01 39 47.5,-56 11 47.1,0.1239,0.00138,8.07,0.287,86.7,0.0343,0.01666,,5.95 J,5.07 J,4.57 J,4.13 J,,,,5.54,,K2 V,,0139-5611 A
214,N8 Eri B,,,,,,66 B,,352.00 B,,,,,,01 39 47.5,-56 11 47.1,0.1239,0.00138,8.07,0.287,86.7,0.0343,0.01666,,,,,,,,,,,K3 V,,0139-5611 B
215,N4 Aqr,,,,,,1276,69,5548.01,,,,,,22 53 53.4,-06 46 54.0,0.1237,0.0043,8.08,,,,,,17.53,15.66,,,,,,16.12,,WDZ9+,,2253-0646
216,N6 Her,,,,,,686,452,4009,86287,170-055,BD+18 3421,,,17 37 53.4,+18 35 30.1,0.12366,0.00149,8.09,1.351,43.3,0.0652,0.98319,,11.15,9.62,8.63,7.51,6.36,5.79,5.572,10.08,,M0.0 V,,1737+1835
